iteration	loss	cosine_similarity
0	2.0572948750e+06	nan
1	1.8590673750e+06	nan
2	1.6708177500e+06	nan
3	1.4942201250e+06	nan
4	1.3299772500e+06	nan
5	1.1784247500e+06	nan
6	1.0395613750e+06	nan
7	9.1310850000e+05	nan
8	7.9862687500e+05	nan
9	6.9558225000e+05	nan
10	6.0337362500e+05	nan
11	5.2134946875e+05	nan
12	4.4882306250e+05	nan
13	3.8508493750e+05	nan
14	3.2941737500e+05	nan
15	2.8110462500e+05	nan
16	2.3944379688e+05	nan
17	2.0375231250e+05	nan
18	1.7337334375e+05	nan
19	1.4768165625e+05	nan
20	1.2608776562e+05	nan
21	1.0804169531e+05	nan
22	9.3035679688e+04	nan
23	8.0607109375e+04	nan
24	7.0339468750e+04	nan
25	6.1863808594e+04	nan
26	5.4858101562e+04	nan
27	4.9046488281e+04	nan
28	4.4196699219e+04	nan
29	4.0116925781e+04	nan
30	3.6651253906e+04	nan
31	3.3675007812e+04	nan
32	3.1089937500e+04	nan
33	2.8819238281e+04	nan
34	2.6803548828e+04	nan
35	2.4996824219e+04	nan
36	2.3363537109e+04	nan
37	2.1876013672e+04	nan
38	2.0512625000e+04	nan
39	1.9256300781e+04	nan
40	1.8093738281e+04	nan
41	1.7014541016e+04	nan
42	1.6010835938e+04	nan
43	1.5076780273e+04	nan
44	1.4208381836e+04	nan
45	1.3403014648e+04	nan
46	1.2659125000e+04	nan
47	1.1975746094e+04	nan
48	1.1352236328e+04	nan
49	1.0787858398e+04	nan
50	1.0281414062e+04	nan
51	9.8309912109e+03	nan
52	9.4338330078e+03	nan
53	9.0861826172e+03	nan
54	8.7833876953e+03	nan
55	8.5199433594e+03	nan
56	8.2898193359e+03	nan
57	8.0867333984e+03	nan
58	7.9044262695e+03	nan
59	7.7370620117e+03	nan
60	7.5794404297e+03	nan
61	7.4271787109e+03	nan
62	7.2768618164e+03	nan
63	7.1260810547e+03	nan
64	6.9733007812e+03	nan
65	6.8179248047e+03	nan
66	6.6599794922e+03	nan
67	6.5000830078e+03	nan
68	6.3392348633e+03	nan
69	6.1786240234e+03	nan
70	6.0195410156e+03	nan
71	5.8632348633e+03	nan
72	5.7108535156e+03	nan
73	5.5633369141e+03	nan
74	5.4214042969e+03	nan
75	5.2855458984e+03	nan
76	5.1560166016e+03	nan
77	5.0328505859e+03	nan
78	4.9159052734e+03	nan
79	4.8048730469e+03	nan
80	4.6993447266e+03	nan
81	4.5988374023e+03	nan
82	4.5028291016e+03	nan
83	4.4108085938e+03	nan
84	4.3222846680e+03	nan
85	4.2368383789e+03	nan
86	4.1540976562e+03	nan
87	4.0737758789e+03	nan
88	3.9956386719e+03	nan
89	3.9195468750e+03	nan
90	3.8453837891e+03	nan
91	3.7730688477e+03	nan
92	3.7025712891e+03	nan
93	3.6338627930e+03	nan
94	3.5669287109e+03	nan
95	3.5017529297e+03	nan
96	3.4383288574e+03	nan
97	3.3766372070e+03	nan
98	3.3166540527e+03	nan
99	3.2583200684e+03	nan
100	3.2015932617e+03	nan
101	3.1464252930e+03	nan
102	3.0927270508e+03	nan
103	3.0404348145e+03	nan
104	2.9894462891e+03	nan
105	2.9397128906e+03	nan
106	2.8911499023e+03	nan
107	2.8436953125e+03	nan
108	2.7972822266e+03	nan
109	2.7518779297e+03	nan
110	2.7074296875e+03	nan
111	2.6639072266e+03	nan
112	2.6212880859e+03	nan
113	2.5795563965e+03	nan
114	2.5387016602e+03	nan
115	2.4986928711e+03	nan
116	2.4595407715e+03	nan
117	2.4212270508e+03	nan
118	2.3837275391e+03	nan
119	2.3470422363e+03	nan
120	2.3111596680e+03	nan
121	2.2760603027e+03	nan
122	2.2417089844e+03	nan
123	2.2081166992e+03	nan
124	2.1752392578e+03	nan
125	2.1430751953e+03	nan
126	2.1115886230e+03	nan
127	2.0807812500e+03	nan
128	2.0506052246e+03	nan
129	2.0210491943e+03	nan
130	1.9920855713e+03	nan
131	1.9637065430e+03	nan
132	1.9358928223e+03	nan
133	1.9086240234e+03	nan
134	1.8818966064e+03	nan
135	1.8556962891e+03	nan
136	1.8300057373e+03	nan
137	1.8048208008e+03	nan
138	1.7801252441e+03	nan
139	1.7559228516e+03	nan
140	1.7321840820e+03	nan
141	1.7089099121e+03	nan
142	1.6860886230e+03	nan
143	1.6637065430e+03	nan
144	1.6417535400e+03	nan
145	1.6202102051e+03	nan
146	1.5990778809e+03	nan
147	1.5783413086e+03	nan
148	1.5579958496e+03	nan
149	1.5380230713e+03	nan
150	1.5184227295e+03	nan
151	1.4991824951e+03	nan
152	1.4802858887e+03	nan
153	1.4617318115e+03	nan
154	1.4435140381e+03	nan
155	1.4256230469e+03	nan
156	1.4080545654e+03	nan
157	1.3907939453e+03	nan
158	1.3738369141e+03	nan
159	1.3571760254e+03	nan
160	1.3408140869e+03	nan
161	1.3247401123e+03	nan
162	1.3089445801e+03	nan
163	1.2934118652e+03	nan
164	1.2781534424e+03	nan
165	1.2631613770e+03	nan
166	1.2484271240e+03	nan
167	1.2339399414e+03	nan
168	1.2196951904e+03	nan
169	1.2057005615e+03	nan
170	1.1919394531e+03	nan
171	1.1784003906e+03	nan
172	1.1650979004e+03	nan
173	1.1520109863e+03	nan
174	1.1391462402e+03	nan
175	1.1264826660e+03	nan
176	1.1140290527e+03	nan
177	1.1017789307e+03	nan
178	1.0897219238e+03	nan
179	1.0778549805e+03	nan
180	1.0661804199e+03	nan
181	1.0546883545e+03	nan
182	1.0433757324e+03	nan
183	1.0322379150e+03	nan
184	1.0212730713e+03	nan
185	1.0104755249e+03	nan
186	9.9984808350e+02	nan
187	9.8937982178e+02	nan
188	9.7906726074e+02	nan
189	9.6891418457e+02	nan
190	9.5891796875e+02	nan
191	9.4906445312e+02	nan
192	9.3935491943e+02	nan
193	9.2979699707e+02	nan
194	9.2037139893e+02	nan
195	9.1109045410e+02	nan
196	9.0193920898e+02	nan
197	8.9292352295e+02	nan
198	8.8403637695e+02	nan
199	8.7527093506e+02	nan
0	2.0715717500e+06	0.5076014995574951
1	1.8735448750e+06	0.5153776407241821
2	1.6854833750e+06	0.5229605436325073
3	1.5093340000e+06	0.5303041934967041
4	1.3455552500e+06	0.5373829007148743
5	1.1942348750e+06	0.544187605381012
6	1.0553218750e+06	0.5507113933563232
7	9.2859100000e+05	0.5569521188735962
8	8.1366912500e+05	0.5629101991653442
9	7.1007100000e+05	0.5685890913009644
10	6.1722468750e+05	0.5739922523498535
11	5.3449612500e+05	0.5791252255439758
12	4.6120900000e+05	0.5839975476264954
13	3.9666343750e+05	0.5886214971542358
14	3.4015278125e+05	0.592998743057251
15	2.9097590625e+05	0.597133994102478
16	2.4844551562e+05	0.6010342240333557
17	2.1189515625e+05	0.6047061085700989
18	1.8068287500e+05	0.6081565618515015
19	1.5419575000e+05	0.6113944053649902
20	1.3185428125e+05	0.6144261360168457
21	1.1311545312e+05	0.6172581911087036
22	9.7476078125e+04	0.6198962926864624
23	8.4475609375e+04	0.6223480701446533
24	7.3697906250e+04	0.6246204972267151
25	6.4772542969e+04	0.6267210841178894
26	5.7374804688e+04	0.6286590099334717
27	5.1225156250e+04	0.6304424405097961
28	4.6086777344e+04	0.6320801973342896
29	4.1762648438e+04	0.6335809230804443
30	3.8091671875e+04	0.6349537372589111
31	3.4944054688e+04	0.6362069845199585
32	3.2216664062e+04	0.6373505592346191
33	2.9828464844e+04	0.638392448425293
34	2.7716181641e+04	0.6393411755561829
35	2.5830531250e+04	0.640204906463623
36	2.4133173828e+04	0.6409910917282104
37	2.2593945312e+04	0.6417068243026733
38	2.1188941406e+04	0.6423589587211609
39	1.9899191406e+04	0.6429539918899536
40	1.8709283203e+04	0.6434988379478455
41	1.7607041016e+04	0.643998384475708
42	1.6582722656e+04	0.6444571614265442
43	1.5628838867e+04	0.6448800563812256
44	1.4739814453e+04	0.6452704668045044
45	1.3911740234e+04	0.6456321477890015
46	1.3142060547e+04	0.645968496799469
47	1.2429250000e+04	0.6462817788124084
48	1.1772398438e+04	0.646574854850769
49	1.1170919922e+04	0.6468495726585388
0	2.0559998750e+06	0.5079160332679749
1	1.8575808750e+06	0.5157583951950073
2	1.6692177500e+06	0.5233941078186035
3	1.4926391250e+06	0.5307857990264893
4	1.3284392500e+06	0.5379074811935425
5	1.1768496250e+06	0.5447444915771484
6	1.0378824375e+06	0.5512895584106445
7	9.1133081250e+05	0.5575428605079651
8	7.9680031250e+05	0.5635064244270325
9	6.9376675000e+05	0.5691879987716675
10	6.0162606250e+05	0.5745887756347656
11	5.1972293750e+05	0.5797154903411865
12	4.4736337500e+05	0.5845739245414734
13	3.8382793750e+05	0.5891710519790649
14	3.2838609375e+05	0.5935163497924805
15	2.8030959375e+05	0.5976181030273438
16	2.3888410938e+05	0.6014817953109741
17	2.0341720312e+05	0.605112612247467
18	1.7324514062e+05	0.6085201501846313
19	1.4773785938e+05	0.6117136478424072
20	1.2630273438e+05	0.6146986484527588
21	1.0838818750e+05	0.6174842119216919
22	9.3486593750e+04	0.6200777888298035
23	8.1135937500e+04	0.6224851608276367
24	7.0921796875e+04	0.6247156858444214
25	6.2477554688e+04	0.6267760992050171
26	5.5484554688e+04	0.628675103187561
27	4.9670234375e+04	0.63042151927948
28	4.4805859375e+04	0.6320246458053589
29	4.0702898438e+04	0.6334933638572693
30	3.7208585938e+04	0.63483726978302
31	3.4200875000e+04	0.6360640525817871
32	3.1583847656e+04	0.6371819972991943
33	2.9282765625e+04	0.638200044631958
34	2.7239636719e+04	0.6391277313232422
35	2.5409625000e+04	0.6399725675582886
36	2.3757867188e+04	0.6407422423362732
37	2.2257042969e+04	0.6414440274238586
38	2.0885492188e+04	0.6420841217041016
39	1.9625820312e+04	0.6426689624786377
40	1.8463949219e+04	0.6432037353515625
41	1.7388566406e+04	0.6436944007873535
42	1.6390509766e+04	0.6441453695297241
43	1.5462672852e+04	0.6445610523223877
44	1.4599564453e+04	0.6449466347694397
45	1.3797257812e+04	0.6453046798706055
46	1.3053007812e+04	0.6456379890441895
47	1.2365051758e+04	0.6459498405456543
48	1.1732193359e+04	0.6462422013282776
49	1.1153585938e+04	0.6465170383453369
